category_id,category_name,category_path,parent_category_id,parent_category_path,depth,root_category_name,term_count,direct_term_count,source,review_status
CAT_00160,농업시설,경제·산업>농업>농업시설,CAT_00025,경제·산업>농업,3,경제·산업,39,39,history_terms.term_lk,PENDING
CAT_00161,농업일반,경제·산업>농업>농업일반,CAT_00025,경제·산업>농업,3,경제·산업,71,71,history_terms.term_lk,PENDING
CAT_00162,농업정책·제도·법령,경제·산업>농업>농업정책·제도·법령,CAT_00025,경제·산업>농업,3,경제·산업,102,102,history_terms.term_lk,PENDING
CAT_00163,농촌·농민문제,경제·산업>농업>농촌·농민문제,CAT_00025,경제·산업>농업,3,경제·산업,24,24,history_terms.term_lk,PENDING
CAT_00164,토지제도,경제·산업>농업>토지제도,CAT_00025,경제·산업>농업,3,경제·산업,228,228,history_terms.term_lk,PENDING
CAT_00165,상업·유통·서비스업단체,경제·산업>상업·유통·서비스업>상업·유통·서비스업단체,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,142,142,history_terms.term_lk,PENDING
CAT_00166,상업일반,경제·산업>상업·유통·서비스업>상업일반,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,15,15,history_terms.term_lk,PENDING
CAT_00167,상업정책·제도·법령,경제·산업>상업·유통·서비스업>상업정책·제도·법령,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,18,18,history_terms.term_lk,PENDING
CAT_00168,상점,경제·산업>상업·유통·서비스업>상점,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,39,39,history_terms.term_lk,PENDING
CAT_00169,상품,경제·산업>상업·유통·서비스업>상품,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,57,57,history_terms.term_lk,PENDING
CAT_00170,서비스업,경제·산업>상업·유통·서비스업>서비스업,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,41,41,history_terms.term_lk,PENDING
CAT_00171,시장,경제·산업>상업·유통·서비스업>시장,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,243,243,history_terms.term_lk,PENDING
CAT_00172,운송·운수,경제·산업>상업·유통·서비스업>운송·운수,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,28,28,history_terms.term_lk,PENDING
CAT_00173,창고·보관,경제·산업>상업·유통·서비스업>창고·보관,CAT_00028,경제·산업>상업·유통·서비스업,3,경제·산업,48,48,history_terms.term_lk,PENDING
CAT_00174,수산업기구·단체,경제·산업>수산업>수산업기구·단체,CAT_00031,경제·산업>수산업,3,경제·산업,4,4,history_terms.term_lk,PENDING
CAT_00175,수산업도구·시설,경제·산업>수산업>수산업도구·시설,CAT_00031,경제·산업>수산업,3,경제·산업,24,24,history_terms.term_lk,PENDING
CAT_00176,수산업생산물,경제·산업>수산업>수산업생산물,CAT_00031,경제·산업>수산업,3,경제·산업,2,2,history_terms.term_lk,PENDING
CAT_00177,수산업일반,경제·산업>수산업>수산업일반,CAT_00031,경제·산업>수산업,3,경제·산업,12,12,history_terms.term_lk,PENDING
