person_id,name,birth_year,death_year,bonkwan,ja,ho,father,related_count,detail_url
P000144,강두운(姜斗運),,,진주(晉州),천희(天希),남천(藍川),강유윤(姜有胤),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000144
P000145,강두준(姜斗俊),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000145
P000146,강득구(姜得求),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000146
P000147,강득룡(康得龍),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000147
P000148,강득위(姜得渭),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000148
P000149,강득윤(姜得胤),,16??,진주(晉州),언술(彥述),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000149
P000150,강락(姜濼),1713,1792,진주(晉州),지숙(智叔),,,4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000150
P000151,강려(姜鋁),1827,1854,진주(晉州),동로(東老),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000151
P000152,강력(姜櫟),1659,,진주(晉州),중구(仲久),,강석빈(姜碩賓),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000152
P000153,강련(姜練),1706,1787,진주(晉州),,,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000153
P000154,강련(姜鍊),1800,,진주(晉州),성백(成百),,강태중(姜泰重),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000154
P000155,강렴(姜濂),1544,1606,진주(晉州),연락(沿洛),만송(晩松),,3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000155
P000156,강로(姜老),,,진주(晉州),소지(少之),,강해(姜諧),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000156
P000157,강로(姜栳),1747,1781,진주(晉州),"수이(壽爾), 수이(壽而)",,강헌(姜瀗),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000157
P000158,강로(姜櫓),1743,1801,진주(晉州),공섭(公涉),,강락(姜濼),10명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000158
P000159,강로(姜㳣),,,진주(晉州),,,강이천(姜彝天),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000159
P000160,강로(姜㳣),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000160
P000161,강뢰(姜賚),,,금천(衿川),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000161
P000162,강류(姜鎏),,,진주(晉州),,,강헌규(姜獻奎),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000162
P000163,강륜(姜棆),1656,,진주(晉州),치원(致遠),,강석신(姜碩臣),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000163
P000164,강륜(康崙),1517,,신천(信川),"소첨(小瞻), 대림(大臨)","가산(佳山), 검암(儉岩)",강희철(康希哲),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000164
P000165,강륜(姜綸),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000165
P000166,강리(姜莅),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000166
