target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,4,,문화,,,문화,,,6,0.12,12.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,5,,제도,,,제도,,,6,0.12,12.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,1,,정치,,,정치,,,20,0.4,40.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,2,,사건,,,사건,,,12,0.24,24.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,3,,인물,,,인물,,,8,0.16,16.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,4,,제도,,,제도,,,5,0.1,10.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,5,,문화,,,문화,,,5,0.1,10.0
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,1,,,사건,,사건,,,88,0.352,35.2
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,2,,,인물,,인물,,,52,0.208,20.8
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,3,,,문화,,문화,,,31,0.124,12.4
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,4,,,제도,,제도,,,29,0.116,11.6
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,5,,,정치,,정치,,,21,0.084,8.4
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,1,,,사건,,사건,,,14,0.28,28.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,2,,,인물,,인물,,,13,0.26,26.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,3,,,문화,,문화,,,7,0.14,14.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,4,,,제도,,제도,,,5,0.1,10.0
