entity_id,source_record_id,graph_release_id
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0389:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0389:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P006535:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P006535:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P055724:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P055724:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0396:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0396:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P034104:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P034104:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0400:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0400:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P014110:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P014110:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029322:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029322:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P059064:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P059064:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0401:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0401:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
